,dvcat,weight,Survived,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity,caseid
0,55+,27.0779999999795,Not_Survived,none,none,1,m,32,1997,1987.0,unavail,driver,0,4.0,2:13:2
1,25-39,89.62699999939647,Not_Survived,airbag,belted,0,f,54,1997,1994.0,nodeploy,driver,0,4.0,2:17:1
2,55+,27.0779999999795,Not_Survived,none,belted,1,m,67,1997,1992.0,unavail,driver,0,4.0,2:79:1
3,55+,27.0779999999795,Not_Survived,none,belted,1,f,64,1997,1992.0,unavail,pass,0,4.0,2:79:1
4,55+,13.373999999952499,Not_Survived,none,none,1,m,23,1997,1986.0,unavail,driver,0,4.0,4:58:1
5,25-39,12.3829999999143,Not_Survived,none,belted,0,f,77,1997,1992.0,unavail,pass,0,4.0,4:96:2
6,55+,13.373999999952499,Not_Survived,none,none,0,m,34,1997,1990.0,unavail,driver,0,4.0,4:100:1
7,10-24,13.373999999952499,Not_Survived,airbag,belted,1,m,37,1997,1995.0,deploy,driver,1,4.0,4:104:2
8,40-54,13.373999999952499,Not_Survived,none,none,0,f,33,1997,1987.0,unavail,driver,0,4.0,4:138:1
9,25-39,15.3549999999814,Not_Survived,airbag,none,1,f,84,1997,1996.0,deploy,driver,1,4.0,4:146:1
10,10-24,15.3549999999814,Not_Survived,none,none,0,m,87,1997,1981.0,unavail,driver,0,4.0,4:147:2
11,40-54,29.65499999979511,Not_Survived,none,belted,1,f,38,1997,1989.0,unavail,driver,0,4.0,5:26:2
12,40-54,29.65499999979511,Not_Survived,none,none,1,m,75,1997,1986.0,unavail,driver,0,4.0,5:32:1
13,40-54,31.4079999998212,Not_Survived,none,none,0,m,37,1997,1987.0,unavail,driver,0,4.0,5:78:1
14,10-24,29.65499999979511,Not_Survived,none,none,1,m,19,1997,1989.0,unavail,driver,0,4.0,5:91:2
15,25-39,29.65499999979511,Not_Survived,none,none,1,m,22,1997,1981.0,unavail,pass,0,4.0,5:94:1
16,55+,29.65499999979511,Not_Survived,none,none,1,f,76,1997,1993.0,unavail,driver,0,4.0,5:123:1
17,25-39,11.6519999998854,Not_Survived,none,belted,0,f,17,1997,1989.0,unavail,pass,0,4.0,6:14:1
18,55+,14.591999999946001,Not_Survived,none,none,0,m,33,1997,1987.0,unavail,pass,0,4.0,6:24:2
19,40-54,22.4849999998696,Not_Survived,none,belted,0,m,62,1997,1987.0,unavail,driver,0,3.0,6:26:2
20,25-39,7.53199999994831,Not_Survived,airbag,belted,0,f,63,1997,1995.0,deploy,pass,1,3.0,6:38:2
21,40-54,15.2729999999283,Not_Survived,airbag,belted,0,m,70,1997,1990.0,deploy,driver,1,4.0,6:44:2
22,55+,10.2449999999953,Not_Survived,none,belted,0,f,26,1997,1990.0,unavail,driver,0,4.0,6:50:2
23,55+,6.04299999994691,Not_Survived,airbag,none,0,f,41,1997,1993.0,nodeploy,driver,0,4.0,6:94:2
24,55+,7.65099999995437,Not_Survived,airbag,none,0,f,22,1997,1994.0,deploy,pass,1,4.0,6:98:1
25,55+,9.96699999994598,Not_Survived,none,none,0,m,47,1997,1994.0,unavail,pass,0,4.0,6:102:2
26,55+,7.7569999999832415,Not_Survived,airbag,belted,0,f,25,1997,1994.0,deploy,driver,1,4.0,6:122:3
27,40-54,12.535999999963698,Not_Survived,airbag,none,1,m,27,1997,1995.0,deploy,pass,1,4.0,6:126:1
28,25-39,12.535999999963698,Not_Survived,none,none,1,m,50,1997,1988.0,unavail,driver,0,4.0,6:127:1
29,10-24,28.4489999997895,Not_Survived,airbag,none,0,m,26,1997,1995.0,nodeploy,driver,0,4.0,8:15:1
30,40-54,28.4489999997895,Not_Survived,none,none,0,f,20,1997,1984.0,unavail,pass,0,4.0,8:19:1
31,40-54,28.4489999997895,Not_Survived,none,none,1,m,38,1997,1991.0,unavail,driver,0,4.0,8:43:1
32,25-39,28.4489999997895,Not_Survived,none,belted,0,f,77,1997,1981.0,unavail,pass,0,4.0,8:51:1
33,40-54,138.83199999853994,Not_Survived,none,belted,0,m,39,1997,1988.0,unavail,driver,0,4.0,8:103:2
34,25-39,28.4489999997895,Not_Survived,airbag,none,0,m,21,1997,1993.0,deploy,driver,1,4.0,8:135:1
35,25-39,28.4489999997895,Not_Survived,none,belted,0,f,62,1997,1988.0,unavail,pass,0,4.0,8:151:2
36,25-39,42.0119999996386,Not_Survived,airbag,belted,0,m,26,1997,1994.0,deploy,driver,1,4.0,9:11:1
37,55+,42.0749999997206,Not_Survived,none,belted,0,m,26,1997,1990.0,unavail,driver,0,4.0,9:20:1
38,10-24,72.1939999992028,Not_Survived,none,none,0,m,26,1997,1994.0,unavail,driver,0,4.0,9:40:1
39,55+,93.14699999988079,Not_Survived,none,none,0,f,56,1997,1987.0,unavail,driver,0,4.0,9:58:2
40,25-39,16.778999999864,Not_Survived,none,none,0,m,19,1997,1987.0,unavail,driver,0,4.0,9:60:1
41,25-39,31.6919999998063,Not_Survived,none,belted,0,f,86,1997,1989.0,unavail,pass,0,4.0,9:68:1
42,25-39,22.3619999999646,Not_Survived,airbag,none,0,m,27,1997,1995.0,nodeploy,pass,0,4.0,9:84:1
43,40-54,77.86999999918041,Not_Survived,none,none,1,m,49,1997,1993.0,unavail,pass,0,4.0,9:110:2
44,25-39,117.703999999911,Not_Survived,none,belted,0,m,45,1997,1981.0,unavail,driver,0,4.0,9:122:1
45,25-39,58.9669999997132,Not_Survived,airbag,none,0,m,81,1997,1997.0,deploy,driver,1,4.0,11:11:1
46,40-54,58.9669999997132,Not_Survived,none,belted,0,f,26,1997,1990.0,unavail,driver,0,4.0,11:12:1
47,40-54,49.7749999999069,Not_Survived,airbag,belted,0,f,37,1997,1994.0,deploy,pass,1,4.0,11:53:1
48,55+,51.3659999999218,Not_Survived,airbag,belted,0,f,27,1997,1996.0,deploy,driver,1,4.0,11:84:1
49,40-54,51.3659999999218,Not_Survived,airbag,none,1,m,49,1997,1993.0,deploy,driver,1,4.0,11:108:1
